SIGLA SISTEMA,SIGLA TICKETS,REGIONAL,Mail Regional,SUPERVISOR (GTE ZONA),Mail Supervisor,LOCAL,MAIL,DIRECCION,LOCALIDAD,PROVINCIA,TIPO DE LOCAL,RAZON SOCIAL
FWSF,FSFEW,Melisa Castillo,mcastillo@mostazaweb.com.ar,Camilo Silva,csilva@mostazaweb.com.ar,WALMART STA FE,wsantafe@mostazaweb.com.ar,Ruta 168 km,santa fe,SANTA FE,Shopping,IMEGA SRL
FMSFV,FMSFV,Melisa Castillo,mcastillo@mostazaweb.com.ar,Camilo Silva,csilva@mostazaweb.com.ar,SANTA FE P.,santafe4@mostazaweb.com.ar,San martin 2601,santa fe,SANTA FE,A la calle,LIBERTAD PRESENTE SA
FPRO,FPROS,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,PORTAL ROSARIO,portalrosario@mostazaweb.com.ar,NANSE 323,ROSARIO,SANTA FE,Shopping,IMEGA SRL
FPEL,FMROS,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,PELLEGRINI,pellegrinirosario@mostazaweb.com.ar,Pellegrini 1431,Rosario,SANTA FE,Auto Mostaza,PELLEGRINI BESTFOOD SA C
FRSM,FRSM,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,ROSARIO SUR,rosariosur@mostazaweb.com.ar,Avenida San Martin,Rosario,SANTA FE,A la calle,GAMISUR S. A
FROA,FORO,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,OROÑO,autoorono@mostazaweb.com.ar,Oroño 3120,Rosario,SANTA FE,Auto Mostaza,MADILAGA S.A.
FMSNI,FMSNI,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,SAN NICOLAS,sannicolas@mostazaweb.com.ar,Mitre 449,San Nicolás,BUENOS AIRES,Auto Mostaza,PUA NANI SRL
FMPUM,FMPUM,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,PUMA,pumarosario@mostazaweb.com.ar,-,-,SANTA FE,Auto Mostaza,FGC FUELS MARKETING SA
FMFUN,-,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,FUNES,-,Av. Córdoba 1291,FUNES,SANTA FE,-,-
-,-,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,ALTO ROSARIO,-,Junín 501 (Shopping Alto Rosario),ROSARIO,SANTA FE,-,-
-,-,Melisa Castillo,mcastillo@mostazaweb.com.ar,Sabrina Orlando,sorlando@mostazaweb.com.ar,CITY CENTER,-,Blvd. Oroño 3152,ROSARIO,SANTA FE,-,-
MFT2,MFT2,-,,-,,FOOD TRUCK 2,foodtruck1@mostazaweb.com.ar,Ruta 40 km 355,San Juan,SAN JUAN,Food Truck,GASTRO MANANGET GROUP S.A
